Goal ID,Goals,Status,Active/Deleted
332816," Support achievement of zero engineering employees fatalities or serious injuries in AWD
 Exceed FRA Safety Reportable Rate by 10% of FY21 2.95 incidents per 200,000 employee hours
 Monitor DashCam incidents, promote defensive driving, enforce speeding initiatives, address unsafe behaviors, and reduced vehicle damage costs by 10%.
 Support reduction of engineering MORV to goal of under 21
  Schedule and work with employee development/training to ensure compliance with FRA/Amtrak Standards 
 Monitor compliance with Spartan, Safety Audits, Semiannual reviews and D&A testing (100%)
 Actively support and participate in Tier I & II Safety Meeting
 Promote SMS, Just Culture and Stretching Program in AWD and collaborate safety efforts with voluntary safety reporting",Completed,Active
332818," Respond to emergencies with engineering support in the maintenance facilities or derailments in the yard within 4 hrs
  Improve OTP and reduce minutes of delay by quality assurance in all phases of maintenance, construction, and inspection supporting Amtrak’s corporate goals
 Provide engineering support with maintenance, SOGR, or ADA project needs in AWD for both internal and external stakeholders
 Drive continuous improvements in asset management process to support OTP and eliminate trackcaused derailments in the yard
 Support FY21 Environmental, Facility Energy Plan and Sustainability project in AWD
 Provide engineering support and coordination with PTC operations in AWD
 Support joint facility inspection and audits with host railroad in AWD
 Support the development and working knowledge of staff with Project/Construction Management practices",Completed,Active
332819," Achieve core budget spend plan within +/ 10% by monitoring/controlling FTE's, overtime, TPNW, and ensuring plans do not exceed budget
 Drive continuous improvement to plan, execute, and monitor AWD FY21 capital program
monthly spend plan and insure it is met within +/ 10% and does not exceed approved AOP budget by +/ 5%
 Achieve AWD TDR's performance goals at minimum 40% by staff supporting capital or reimbursable project
 Monitor AWD portfolio and ensure monthly report and accruals are coordinated with PMO team
 Coordinate in developing AWD FY22 and FY23 Capital Program and support the engineering strategic initiative timeline collaboratively with PMO",Completed,Active
332668,Maintain 90% response and closure rate on Customer Now items and Sodexo for the Northwest region,Not Started,Deleted
332669,Complete capital projects on time and within or under budget,Not Started,Deleted
332670,Assist and response to station needs and addressing safety item in a timely manner,Not Started,Deleted
333060,Obtain spending within 10% of monthly forecast,On Track,Active
333061,Complete capital projects within 10% of available budget,On Track,Active
333062,Maintain and improve Customer CSI scores,On Track,Active
344436,"I've been working with Adriane from Procurement and will continue to work with her to finish updating the Bus Operations payments process for all of the current PO's monthly contracts and emergency BPO's invoices. These includes converting all of the current PO's to becomes the direct contracts BPO's.

Updated as of Friday, June 24, 2022:
In addition Routes 1, 4, 19, 39 and 90 will be converted from current PO's to becomes the direct contract BPO's once the RFP's are completed in the near future, and it should be done before end of FY22 (September).

Updated as of Sunday, August 21, 2022:
Hoping these RFP's Routes will be completed prior to the end of FY22.",Completed,Active
344437,"To continue enforcing passengers to visually seek the safe walking route when getting on/off Amtrak buses, and to/from their luggage. Stanchions and barrier tapes are displayed along the curb in the LAX bus bays area as a visible/physical warning on the hazard.

Updated as of Friday, June 24:
Will remind LAX bus clerks and drivers to continue making announcements so that all passengers are aware of there surroundings before they start getting off the bus.

Updated as of Sunday, August 21, 2022:
A reminder email had sent out to all LAX bus clerks in reminding them to make sure that all drivers are making their safety announcements.",Completed,Active
344438,"We conduct monthly budget by reviewing with variance to ensure all vendors followup with their payments and reports for any areas that needed corrections. Maria and I are to keep each other inform of things that are constantly changing or needed immediate attention, such as the expirations of current PO's or BPO's. To make sure enough fund to pay for invoices.

Updated as of Friday, June 24:
These goals are constantly going from month to month that requires the majority of my times by focusing/working very closely to these numbers and amounts in details of all activities in hoping to identify the variances/differences as much as possible in order to have a better results at the end of each month for the forecast/accrual to each one of the bus contracted routes.

In addition, I will continue to monitor the PO's and BPO's to ensure enough funds to be invoiced.

Updated as of Sunday, August 21, 2022:
The preliminarily results for the last few months are either favorable/unfavorable to the forecast/accrual. These results are coming very low percentages and these results have been proven and appreciated by the Senior Director Financial Planning & Analysis.",Completed,Active
330673,"Streamline the customer contact with call centers to include additional Chat/SMS agents
Increase direct engagement with the customer through Social Media allow the SM agent to book and assist customer when requested
Increase current 2 Chat/SMS communication to 3 conversation and increase the availability of necessary tools to assist the customer in a timely manner to improve the VOC",On Track,Active
331291," Ensure the accuracy of Amtrak inventory through annual compliance to SAP,Cycle Count & Physical Inventory Procedures\Policies\Goals. Maintain procedural compliance of net variance of 2% vs. Total Inventory. Pass any\all of the following audits scheduled  E&Y Audits or State Partnership Audits including 3rd party vendors
 Operate within FY22 budget",Completed,Active
331292," Maintenance of Equipment Inventory Reduction for the NEC:
 Review replenishment records
 Nonmoving ""C & D"" items/P008 scraps/dispositions
 Support the SIOP process via identifying slowmoving inventory and proceed with disposition
 KPI Fill rates (above 95%)",Completed,Active
331293, Achieve/beat the 1.7 safety injury rate goal for FY22 via proactive safety stand downs and preemptive actions.,Completed,Active
331295, Achieve all audit compliance requirements (Quarterly Audits) within all Plants in my area of responsibility.,Completed,Active
331800,"Drive change with TP to lower the current ASA and reduce the AHT to the 2022 KPI Metric targets  360 AHT & 150 ASA
SMS/Chat  >40 seconds to reach agent >30 respond to current customers during conversation/ 2 consecutive conversation 100%
Social Media >10 seconds",On Track,Active
331802,Weekly meeting to review improvements in the data and share weekly reports for Outliers and discuss strategies to move towards the target KPI metrics,On Track,Active
338118,"Complete Annual RWP Training
	RWP  Attend Roadway Worker Protection (RWP) safety training and obtain valid (re)certification.
	AMT II  Attend Electrical Operating Instructions (AMT II) safety training and obtain valid (re) cert.",Not Started,Active
338123,Deliver scheduling support function to FY22 Capital Program.  Ensure quality of scheduler's work.,Completed,Active
338125,"Support delivery of FY23 Capital Plan, including 2yr plan for programs, through development of schedules and related planning artifacts
Current deadlines are mid April for an 80% Plan, and mid June for a 100% Plan.",Completed,Active
338126,"Improve Project Forecasting to support high confidence FY23 project budgets:
Develop methods and tools to assess quality of forecasts in FY22 and in FY23 planning cycle",On Track,Active
338128,"Support Execution of Department Staffing Plan
              	Support efforts to monitor and assess staff resource allocation and staff resource demand 
              	Fill open vacancies (support/perform required tasks).
                Prepare incumbents for job tasks, including all technical and administrative training.",On Track,Active
338267,"Support achievement of zero engineering employees fatalities or serious
injuries in SWD
 Exceed FRA Safety Reportable Rate by 10% of FY21 2.95 incidents per
200,000 employee hours
 Monitor DashCam incidents, promote defensive driving, enforce speeding
initiatives, address unsafe behaviors, and reduced vehicle damage costs by
10%.
 Support reduction of engineering MORV to goal of under 21
 Schedule and work with employee development/training to ensure
compliance with FRA/Amtrak Standards
 Monitor compliance with Spartan, Safety Audits, Semiannual reviews and
D&A testing (100%)
 Actively support and participate in Tier I & II Safety Meeting
 Promote SMS, Just Culture and Stretching Program in SWD and
collaborate safety efforts with voluntary safety reporting",On Track,Active
338273," Respond to emergencies with engineering support in the maintenance
facilities or derailments in our facilities within 4 hrs
 Improve OTP and reduce minutes of delay by quality assurance in all
phases of maintenance, construction, and inspection supporting Amtrak’s
corporate goals
 Provide engineering support with maintenance, SOGR, or ADA project
needs in SWD for both internal and external stakeholders
 Drive continuous improvements in asset management process to support
OTP and eliminate trackcaused derailments in our facilities.
 Support FY22 Environmental, Facility Energy Plan and Sustainability
project in SWD
 Provide engineering support and coordination with PTC operations in
SWD
 Support joint facility inspection and audits with host railroad in SWD
Project/Construction Management practices",On Track,Active
338275," Achieve core budget spend plan within +/ 10% by monitoring/controlling
FTE's, overtime, TPNW, and ensuring plans do not exceed budget
 Drive continuous improvement to plan, execute, and monitor SWD FY22
capital program
monthly spend plan and insure it is met within +/ 10% and does not exceed
approved AOP budget by +/ 5%
 Achieve SWD TDR's performance goals at minimum 40% by staff
supporting capital or reimbursable project
 Monitor AWD portfolio and ensure monthly report and accruals are
coordinated with PMO team
 Coordinate in developing AWD FY23 and FY24 Capital Program and
support the engineering strategic initiative timeline collaboratively with PMO",On Track,Active
338940,Support department and corporate initiatives to modify or develop processes and tools to improve performance or efficiency.,Completed,Active
332865,"	Establish timely and recurring cadence for monthly reporting with ‘Other’ departments in a logical and relevant organization of the headcount and other data points.  Incorporate, measure and review with business partners Cap Labor assumptions, and establish an understanding and focus on the part of the business partners related to Cap Labor budgets, forecasts, and subsequent variances to actuals.",Completed,Active
332866,"Measure and track unit based metrics for LCPM activities and transition LCPM planning and forecasting to the Back Shops team prior for BP2023.  Support Back Shops by providing a second set of eyes and answering questions related to LCPM during the planning process before fully moving to other areas of focus.
Incorporated assistance from support analyst to track and update unit cost sheet for LCPM project. Transfer to backshop management will occur in September when new Senior manager acquires access to financial systems",Completed,Active
332867,"Manage/oversee ConnDoT Warranty Expense accrual entries for 1Q22, and transition process to Accounting by end of 2Q22 with support of Sr Dir of DP&A
Meth with Accounting team and walked them through the accrual process .Accounting is now responsible for submitting warranty accruals going forward.",Completed,Active
332868,"Work with Bill Herron / Acela team to develop a quarterly consolidated TSSSA package including expenses and measurable activities to date, remaining year forecast – and by 3Q22 – a consolidated view for BP2023 that provides the CMO a clear and concise view of the exhaustive TSSSA spend, what it provides, and any measurable savings in other accounts.
Bill Herron's new role will take ownership of this process",Canceled,Active
332869,"Continue diligent and timely measurement and entry for accruals each monthly close, including use of new accrual tracking worksheet.  Additionally, begin mapping out timing, and estimated value of nonrecurring or irregular accrued events such as performance incentives.
Set up monthly meetings with Amtrak PMs to go over possible accrual needs for ongoing and new contracts. Acquired WabTec contract from IT in 3rd quarter and in regular communications with IT manager.",Completed,Active
332870,"Elevate Patti’s Fleet Mod forecasting to incorporate volume of labor hours, and pace of work across near term (next 6 mos) to identify and verify any areas of risk, or PM forecasts that may have unforeseen consequences such as disrupting workforce availability in other departments.
Guided Patti in creating tracking capital labor hours for RSE Capital projects and encouraged her to participate in monthly calls with PMs and take initiative with WMS team to ensure work orders are set up correctly for new projects. This has resulted in a more a accurate monthly forecast.",Completed,Active
332871,"Track any related Plan C hiring or Plan C vendor contracts.  Stay connected with RSE/Other teams to determine when hiring will be brought into focus, what efforts it will focus on in FY22 & FY23, and how rapidly activity will ramp up in FY23.
Forecasted expenses for new apprenticeship program and included gradual ramp up for FY 23 Plan. Resolved cost center issue for existing trainees. Scheduled monthly calls with RSE/Other management teams to keep abreast of hiring plans and incorporate those plans in the monthly forecast.",Completed,Active
332872,"Oversee Patti in the development of a training deck for ‘Any by Any’ reporting to be saved as an onboarding material for new hires.

Reviewed Patti's Any by Any training guide, made a few recommendations for improvement. Training guide was sent out to other departments in FP&A and will be used as tool for new employees.",Completed,Active
333066,Integrate New Applications and Identify areas of improvement for better operational efficiency.,On Track,Deleted
333067,"IT Training Action Plan

Completed more than 40 hrs of Training as IT training plan including more than 1 hr of DIB related topics . Below are more details on the classes. 

Attended SailPoint IdentityNOW Essentials and Advanced Class to assess the cloud readiness of Amtrak Solution for Cloud Strategy. Aug 2022
Attended Effective Communication Class in Washington, DC as recommended class in new Sr. Manager Role. Aug 2022
Attended AWS Cloud Practitioners Essentials Day to explore AWS cloud features. Aug 2022
Planning to attend MS Azure Classes. Sep 2022 (tentative)

Hosted DT DI&B Employee Resource Workshop on ""Importance of Retaining Talent"" in July 2022.

Also attended more than 10+ trainings including mandatory training and non mandatory trainings including Ready Set Learn series.",Completed,Active
334142,"Troubleshooting Expertise
1. Support troubleshooting of AOD issue where user is sent as their own manager working with HRBS
2. Work with SAP security to help identify the SAP BPC birthright provisioning causing licensing issues. Provided feedback on how to address the problem with a plan of Action
3. Work with DTGRC and SAP Security to address the audit concern of all AOD access being approved by only Hunter and Don. Provided a workaround solution until an enhancement is implemented. 
4. Ideate the reporting structure for a first time PBC to prove the sync between SAP HR and IIQ systems. 

Other Accomplishments

1. Recognition Tech Ops Manager Call Participation  Email from 3/31/2022. 
2. Future Dated Manager for Rehire 
3. Band Zone  Short term  Office Space
4. Device Passcode Reset 
5 . Peer Recognition award. 

Other Points to Note

1. #Giving Tuesday  Participated in Organization Event  Emp comm email on 12/13/2021




This will be an ongoing task to identify potential issues, troubleshoot and resolve to avoid from reoccurring in future.",On Track,Active
338424,"Member of Diversity, Inclusion and Belonging initiative creating awareness about the DI&B topics.",On Track,Deleted
338675,Timesheet Compliance.  Adhere to policies and procedures relating to time such as timely submittal and accurate billing,On Track,Active
338678,"ITSM compliance
INC’s.   Should be worked according to SLA and be executed completely and correctly.
PRB’s.   Be proactive with the lifecycle of problem tickets to ensure they are updated appropriately and fully closed in a timely manner, CRs.   Follow Change Management procedures and ensure timely closing of Change Records upon completion.  
SRs.  Execute Service Requests in the order the come in while delivering within the SLA.",On Track,Active
338680,"Innovation:  Come up with at least 1 innovative idea that either improves the IT Experience for our Colleagues, or that demonstrably improves our Operational Stability / Operational Performance / Operational Efficiency

Innovation Idea 1
Entitlement Admin and Approval Innovation allowed us to significantly onboard applications into IIQ for Active Directory and Azure Group based access. Onboard SAP Server name admins groups, Medallia, Comply365, Paradigm, Citrix and many more in the process. 
This innovation lead to improve our onboarding of apps for access management saving time for AD/Azure to address tickets. It also helps to maintain least privilege access and timely removal of access based on existing controls and framework designed for enterprise. 

Innovation Idea 2
Assisted and implemented Mobile passcode reset feature in IIQ to transition the Deskside tickets to be handled by Service Desk. Worked with IAM team, Joe Jennings and Kerry Boehm which significantly improved process and Operational Performance. 

Innovation Idea 3
Transitioned Approval forwarding to Service desk along with training and documentation which saves IAM team time to work on these requests which can be utilized to address other priorities especially during a resource shortage FY.

Innovation Idea 4
Implementation of SOD policy to avoid incorrect requests to be created for Salesforce All Aboard access by Service desk which is an Operational improvement, Saves costs by avoiding incorrectly assigning licenses also improving customer experience. This is in QA and will be moved to Prod  after testing with Prasad Tippa's team. 

Innovative Idea 5
Collaborate with Service Desk on a bi weekly basis for process improvement and automation. 

Innovative Idea 6
Current Solution in SailPoint IIQ has a product limitation where access to JDBC financial applications cannot be submitted to trigger approval process. Workaround was to perform this natively which will impact native change detection roll out. Enable JDBC quicklink was implemented to improve IIQ functionality and also addressing the Audit concerns. 

Innovative Idea 7
Who Approved QL for DTGRC team. Current solution does not show who from an approver workgroup has approved the request which is critical for auditor to identify the user who approved the request. This Quick link enables and empowers DTGRC team to provide that information to Auditors.",Completed,Active
338697,"	Delivering accurate schedules for technical Deliverables
	Timely Completion of Project Artifacts.  
	Note:  as a technical lead, you will be held accountable for the timely delivery of Capital and Opex projects.  Hitting your dates and deadlines must be a priority.

Constantly work on prioritizing the releases and working with stakeholders to deliver Capex and Opex projects in a timely manner working around the risks and challenges like environment availability, resource availability, product limitation etc. This has been extremely challenging to run the team in Acting Manager role for approx 41% of time in FY22 filling 2 roles and successfully delivering Release 2 of CAPEX project 530 and in Sr Manager role for 25% of time in FY22 managing 4 services and still on track to deliver Rel 3  CAPEX 530 in FY22.

C.IT.100530 Critical Application Integration for SailPoint (Planned Releases)

Access Certification Additions and Enhancements (03/26/22):  Enhance AD integration to include Group Management, Access Requests and Approvals / Group Review and Rationalization.  Integrate with BeyondTrust & SailPoint for Provisioning and Certifications.  These tasks will completely integrate all in scope Financial in scope Applications.  ?

AD Group Management and End User Experience Enhancements (05/20/22):  Improve the onboarding Experience.  Improve the Office 365 license Management.  Add Arrow Support team Enhancements.  Further integrate with Azure for Role Management, Provisioning, Deprovisioning and Rationalize where appropriate.  Updating AD Group Memberships to help with the ESAR certification as well as any UAR related items.  We will also be working to update AD Group Ownership to assist with approval flows and certifications.  Finalize the SAP Integrations (SAP PO & SNP).  Phase 2 of BeyondTrust.  ?

Information Security & Compliance Activities (09/24/22:  Update and initiate Native Change Detection (NCD) for all integrated apps.  This will allow us to see when access is provisioned out of band and take steps to revoke the access and alert Information Security. Finalize the SAP Certifications (SAP PO & SNP).   [UAT 09/16/22 / Deployment 09/24/22]",On Track,Active
331280," Ensure the accuracy of Amtrak inventory through annual compliance to SAP,Cycle Count & Physical Inventory Procedures\Policies\Goals. Maintain procedural compliance of net variance of 2% vs. Total Inventory. Pass any\all of the following audits scheduled  E&Y Audits or State Partnership Audits including 3rd party vendors
 Operate within FY22 budget",On Track,Active
331281," Maintenance of Equipment Inventory Reduction for the NEC:
 Review replenishment records
 Nonmoving ""C & D"" items/P008 scraps/dispositions
 Support the SIOP process via identifying slowmoving inventory and proceed with disposition
 KPI Fill rates (above 95%)",On Track,Active
331283, Achieve/beat the 1.7 safety injury rate goal for FY22 via proactive safety stand downs and preemptive actions.,On Track,Active
331284, Achieve all audit compliance requirements (Quarterly Audits) within all Plants in my area of responsibility.,On Track,Active
332824,"Complete all Mandatory Corporate and IT Amtrak training assigned to you (e.g. Compliance, Safety & Security training)
2. Support and participation with all Corporate and IT Amtrak safety & security goals (e.g. CPR training, Ambassador Training, etc.)",Completed,Active
332825,"Drive a culture of Diversity, Inclusiveness & Belonging within Amtrak IT (e.g. hiring, running meetings, etc.)",Completed,Active
332827,"Mainframe Engineering & Reservation Services development for all FY22 CAPEX projects
 OpEx  $5M, CapEx  $2M and improve forecasting accuracy and transparency for risks and opportunities by +/ 10%.",Completed,Active
332874,"Meet Financial goals and Lead and Develop People
1. Manage teams to meet Capital and Opex targets
2. Ensure forecasts ad accruals are done monthly and we are within 10% of actuals
3. Ensure each person has a development plan
4. Ensure relevant project celebrations are done as appropriate",Completed,Active
333196,"Support achievement of zero engineering employees fatalities or serious injuries in AWD
 Exceed FRA Safety Reportable Rate 2.95 incidents per 200,000 employee hours
 Monitor DashCam incidents, promote defensive driving, address unsafe behaviors in reducing
vehicle damage costs by 10%
 Support reduction of engineering MORV to goal of under 21
 Monitor compliance with Spartan, Safety Audits, Semiannual reviews and D&A testing
compliance (100%)
 Conduct one Safety Audit per month.
 Actively support and participate in Tier I & II Safety Meeting
 Promote SMS, Just Culture and Stretching Program in AWD collaboratively",On Track,Active
333197," Respond to emergencies with Engineering support within the PNW SubDivision for maintenance facility
  issues, derailments, runthought switches, or any other emergency that may require Engineering support
  within 4 hrs. or within a reasonable amount of time to the location.
 Provide Engineering support with maintenance, SOGR, or ADA project needs in AWD for both
  internal and external stakeholders
 Drive continuous improvements in asset management process to support OTP and eliminate
  track caused derailments in the yard
 Support FY22 Environmental, Facility Energy Plan and Sustainability project in AWD
 Provide engineering support and coordination with PTC operations in AWD
 Support joint facility inspection and audits with host railroad in AWD",On Track,Active
333198," Achieve core budget spend plan within +/ 10% by monitoring/controlling FTE's, overtime,
TPNW, and ensuring plans do not exceed budget
 Drive continuous improvement to plan, execute, and monitor AWD FY22 capital program
monthly spend plan and insure it is met within +/ 10% and does not exceed approved AOP
budget by +/ 5%
 Achieve AWD TDR's performance goals at minimum 40% by staff supporting capital or
reimbursable project
 Monitor AWD portfolio and ensure monthly report and accruals are coordinated with PMO
team
 Coordinate in developing AWD FY23 and FY24 Capital Program and support the engineering
strategic initiative timeline",On Track,Active
337368,Deliver FY22 Capital Projects within my SO portfolio,Completed,Active
337370,"Support and Manage All Services within the Service Offerings 
1. Amtrak.com and Mobile App
2. Payments
3. B2B
4. Loyalty
5. API and Integration
6. eTicketing Applications",Completed,Active
340476,Coordinate and where possible influence other areas on the Z/OS strategy to move off the mainframe.,Completed,Active
330862,"Establish and ensure the safety of our warehouse team and mitigate any safety and security related issues. 
A.  Other requirements\items linked to this goal:
	Standardize preventative safety program
      Conduct Safety Work Outs   Follow up and complete all Corrective Actions for resolution",On Track,Active
330863,"Establish and ensure process to achieve a 95% fill rate at all manned locations across the LD Network
A.  Other requirements\items linked to this goal:
	Develop a valid file rate dashboard for warehouse use on carried inventory
	R&R  Complete an analysis on C&S material to add into SAP R&R process
	Support of the following projects through various phases
ALC42 – TSSSA 
Venture Car
State Supported TSSSA for IDOT and WSDOT",On Track,Active
330864,"Manage departmental facilities budget to achieve operations effectiveness and support customer schedules. 
A.	Other requirements\items linked to this Goal:
	Capital modification due to capability of finishing multiple projects at the end of FY21 – Total review of current year submittal and repurpose $’s to support multiple projects – Trickle down effect to 5yr Capital Plan
	Cycle Count   Evaluation of process for accuracy (Link cycle count to plant metric.  Accuracy % determined as goal 98% accuracy as goal
 Manage long distance budgets based on current approved plan\actual",On Track,Active
330865,"Establish and work to complete projects that are linked to any category.  (Safety, Customer Focus, Financial Stewardship to drive continuous improvement) 
A.	Work departmentally or combined with Internal Customer or department to achieve increased operational effectiveness, cost savings or a combination of both. Projects will be reviewed over the course of FY22 to determine company impact.

Project list to include the following: 

	Development of R&R, QA Hold and 222 Areas within the warehouse.
o	Identification, labeling, and segregation
       Develop a standard container to ship windshields from site to site
	Help to drive SIOP process within LD Engineering and Mechanical customers.
	Establish Cost Savings evaluation and input for LD side of the business.",Postponed,Active
330866,"	Evaluation of LD network and various job functions for added complexity
o	Review of C4 and D1 Job Descriptions and Functions
o	Establish a matrix supporting facility complexity
	Staffing and training for multiple staff adds to support the new LD organizational plan.",On Track,Active
330871,"Line Side Distribution System – 2 streams
Project to develop machine system through capital funding (Supply Pro Replacement)
Review application of delivery process for specific material sets to line side locations for use by mechanical (Non Machine based)",On Track,Active
330874,"Recruiting
  D2 role posted and filled with strong leader
  Add ARASA role to supervise Michigan
 Stabilize Michigan workers to support Niles and Jackson without your doing the clerical work itself
 All Long Distance Agreement roles posted and filled",On Track,Active
335850,"Proactively support Engineering, D&A, Transportation departments (EPS,ADAP and PTT) to the best of my abilities.",On Track,Active
335851,Work on application enhancements as required by the business.,On Track,Active
337769,"Enhancements on WFC, attend WFD meetings when accessible to support the implementation for 2022.Coordinate the continued development of WFD and WFC implementation. Support progress with inflight technology projects, including (a) Kronos (WFD completion, Manual timesheet grouping included in WFD inclusion, FOP implementation)",On Track,Active
337770,"Provide support and pull documents for annual infrastructure audit.  · Participate in various internal & external audits to provide details and timely information.  Support FY21 financial statement audit June 2022 with no material weaknesses and no repeat finding.  Working on and off Work site ensure successful processing of payroll procedures are followed, safety measures for work and home.Support / Completion FY21 Uniform Guidance audit by end of May 2022 with no material weaknesses",Completed,Active
343140,"Reduce Off Cycles by 25 to 50% (adjust by COVID and Side Effect processing.
Completion of Biweekly Payrolls and successful payouts for collective bargaining agreement.
Covid/Side Effect processing: collecting, auditing, and paying.",Completed,Active
343141,"Working on and off Work site ensure successful processing of payroll procedures are followed, safety measures for work and home. Check on PPE supply accessibility. Exit, evacuation and AED map at CHI and LA Stations.  Get names of Floor Safety captains. Coordinate safe departures from work on office work day. Provide COVID 15 min test in case of suspected exposure. Attend Well being sessions and discuss.",Completed,Active
330935,"Complete spend analytics and define FY21 Procurement Strategy by UNSPSC and ensure execution throughout the year. Stretch goal is to have strategies established for the top 80% of each spend category, with preferred suppliers. Q1/Q2 focus on resoliciting Strategy and Planning MSAs to better support major programs. Define RACI between IT Procurement and IT Vendor Management starting by Q2.",On Track,Active
330938,"Achieve $17M (3% of addressable spend) in cost savings/avoidance as defined in Spend Analytics Plan, and formalize cost saving goals by functional area/commodity/individual.",On Track,Active
330940,Ensure Team utilizes Market intelligence tool (Procurement IQ) for all strategic procurements,On Track,Active
330941,"Conduct QBRs with top 5 suppliers and establish vendor scorecards for each, with a stretch goal of 7 suppliers.",On Track,Active
330942,End user engagement – schedule standing meetings (establish new and sustain existing).,On Track,Active
